Player;Squad;Nation;Pos;Age;MP;Min;Gls;G-PK;Ast;xG;xAG;Gls/90;G-PK/90;Ast/90;xG/90;xAG/90;Competition;Sh;Sh/90;SoT/90;Passes%;ShortPasses%;MediumPasses%;LongPasses%;A-xAG;TklW/90;Blocks/90;Int/90;Tkl+Int/90;Clr/90;Touches/90;Dribbles/90;Dribbles%;SCA/90;GCA/90;Aerial%;Points/90;xGA;OG;PSxG;PSxG/SoT;PSxG+/-;GA;GA/90;Save%;CS%;SoTA/90;SoTA/GA;SoT/G;G-xG;PassesCompleted/90;PassesAttempted/90;ShortPassesCompleted/90;MediumPassesCompleted/90;LongPassesCompleted/90;TotDistPasses/90;PrgDistPasses/90;xA/90;KP/90;FinalThirdPasses/90;PPA/90;CrsPA/90;PassesProgressive/90;xGA/90;Recov/90;Fls/90;Fld/90;AerialW/90;xGD;xGD/90;MP_Squad
Abner;Betis;BRA;DF;22;13;607;0;0;0;1.7;0.1;0.0;0.0;0.0;0.25;0.02;La Liga;5;0.74;0.15;71.8;87.2;70.1;38.1;-0.1;0.69;0.62;0.62;1.54;1.85;32.69;0.23;30.0;1.18;0.15;36.0;1.08;10.9;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-1.7;19.38;27.0;10.0;7.23;1.23;298.92;121.38;0.04;0.15;1.38;0.23;0.08;1.23;0.84;3.31;0.62;0.15;0.69;-9.200000000000001;-0.59;38
Paul Akouokou;Betis;CIV;MF,DF;24;12;447;0;0;0;0.2;0.0;0.0;0.0;0.0;0.03;0.0;La Liga;3;0.60;0.20;92.0;97.3;95.7;77.8;0.0;0.75;0.17;1.0;2.33;1.42;19.42;0.25;60.0;0.40;0.00;46.2;1.67;8.9;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.2;13.33;14.5;5.92;5.5;1.17;222.5;53.75;0.01;0.0;1.08;0.08;0.0;0.83;0.74;2.25;0.58;0.33;0.5;-8.700000000000001;-0.71;38
Claudio Bravo;Betis;CHI;GK;39;12;1080;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;59.2;100.0;97.8;38.2;0.0;0.0;0.0;0.17;0.17;0.08;34.5;0.0;0;0.25;0.00;100.0;1.67;14.9;0;11.0;0.24;+2.0;9;0.75;81.0;33.3;3.5;4.67;0.0;0.0;19.33;32.67;3.67;7.42;8.0;618.25;472.83;0.0;0.0;0.42;0.08;0.0;0.08;1.24;1.17;0.0;0.0;0.25;-14.9;-1.24;38
Sergio Canales;Betis;ESP;MF;31;31;2402;4;3;3;4.4;5.9;0.15;0.11;0.11;0.16;0.22;La Liga;38;1.42;0.37;75.7;89.4;78.4;46.9;-2.9;0.45;0.58;0.45;1.26;0.26;54.1;0.9;51.9;4.16;0.30;35.1;1.52;34.8;0;0;0;0;0;0;0.0;0;0.0;0.0;3.33;-0.40000000000000036;36.0;47.55;20.1;10.29;3.19;538.35;144.87;0.16;1.81;3.03;1.65;0.45;4.61;1.12;3.9;0.29;1.03;0.42;-30.4;-0.9600000000000001;38
William Carvalho;Betis;POR;MF;30;33;2438;3;3;1;3.1;1.6;0.11;0.11;0.04;0.11;0.06;La Liga;26;0.96;0.33;86.5;91.5;87.6;76.3;-0.6;0.82;0.82;0.48;1.79;0.67;59.97;0.88;55.8;2.19;0.26;54.2;1.70;32.0;0;0;0;0;0;0;0.0;0;0.0;0.0;3.0;-0.10000000000000009;45.76;52.88;23.82;15.91;4.48;749.79;226.73;0.06;0.67;5.15;0.7;0.03;6.15;0.97;4.82;0.88;1.21;0.97;-28.9;-0.86;38
Juan Cruz;Betis;ESP;FW;22;6;178;1;1;0;0.5;0.1;0.51;0.51;0.0;0.23;0.07;La Liga;5;2.53;1.01;64.1;89.5;45.5;0.0;-0.1;0.0;0.17;0.0;0.17;0.0;10.5;0.5;42.9;1.52;0.00;33.3;1.33;1.6;0;0;0;0;0;0;0.0;0;0.0;0.0;2.0;0.5;4.17;6.5;2.83;0.83;0.0;47.0;12.0;0.02;0.33;0.0;0.0;0.0;0.17;0.27;1.33;0.67;0.33;0.17;-1.1;-0.04000000000000001;38
Fran Delgado;Betis;ESP;DF;21;1;12;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;87.5;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0;0.00;0.00;0;3.00;0.0;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;7.0;8.0;4.0;3.0;0.0;110.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38
Nabil Fekir;Betis;FRA;MF;29;15;961;2;1;2;2.4;2.7;0.19;0.09;0.19;0.23;0.26;La Liga;24;2.25;0.56;78.1;87.6;84.1;32.7;-0.7;0.33;0.4;0.07;0.8;0.0;40.47;1.13;38.6;5.24;0.47;42.1;1.73;10.1;0;0;0;0;0;0;0.0;0;0.0;0.0;6.0;-0.3999999999999999;25.2;32.27;15.07;6.0;1.2;316.4;91.13;0.16;1.53;2.27;0.93;0.07;2.73;0.67;2.07;1.4;2.6;0.53;-7.699999999999999;-0.44000000000000006;38
Luiz Felipe;Betis;ITA;DF;25;23;1763;0;0;0;0.2;0.3;0.0;0.0;0.0;0.01;0.02;La Liga;3;0.15;0.05;85.2;91.1;89.7;62.2;-0.3;1.0;1.87;1.22;2.7;4.61;49.09;0.22;55.6;0.36;0.05;46.3;1.35;25.3;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.2;32.74;38.43;13.3;15.48;3.0;573.83;223.17;0.01;0.13;1.43;0.04;0.04;1.83;1.1;3.48;0.43;0.43;1.35;-25.1;-1.09;38
Felix Garreta;Betis;ESP;DF;18;1;90;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;85.0;84.6;88.9;87.5;0.0;0.0;1.0;1.0;2.0;4.0;47.0;0.0;0;0.00;0.00;50.0;1.00;0.4;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;34.0;40.0;11.0;16.0;7.0;709.0;206.0;0.0;0.0;2.0;0.0;0.0;2.0;0.4;3.0;2.0;1.0;1.0;-0.4;-0.4;38
Édgar González;Betis;ESP;DF;25;25;1772;0;0;0;1.2;0.8;0.0;0.0;0.0;0.06;0.04;La Liga;9;0.46;0.15;88.8;92.0;92.5;70.1;-0.8;0.76;0.48;0.84;1.96;4.8;44.24;0.08;40.0;0.36;0.05;59.3;1.72;26.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-1.2;31.68;35.68;13.32;15.36;2.72;570.4;199.92;0.03;0.08;0.56;0.0;0.0;1.2;1.05;3.32;0.92;0.52;1.92;-25.0;-0.99;38
Roberto González;Betis;ESP;FW,MF;21;2;54;0;0;0;0.0;0.3;0.0;0.0;0.0;0.0;0.48;La Liga;0;0.00;0.00;86.2;85.7;100.0;60.0;-0.3;0.0;0.0;0.5;0.5;0.0;17.5;0.0;0.0;8.33;0.00;0;3.00;0.3;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;12.5;14.5;6.0;4.0;1.5;187.0;60.5;0.1;1.5;1.0;0.0;0.0;1.0;0.15;0.0;0.5;2.0;0.0;-0.3;-0.15;38
Andrés Guardado;Betis;MEX;MF;35;26;1373;1;1;1;0.3;1.1;0.07;0.07;0.07;0.02;0.07;La Liga;8;0.52;0.20;84.9;93.9;87.7;69.3;-0.1;0.96;0.54;0.88;2.46;1.12;39.31;0.19;50.0;2.10;0.33;37.0;1.65;21.6;0;0;0;0;0;0;0.0;0;0.0;0.0;3.0;0.7;28.42;33.46;13.12;11.23;3.65;530.46;153.65;0.04;0.46;2.69;0.19;0.0;2.77;0.83;4.65;0.62;0.38;0.65;-21.3;-0.8099999999999999;38
Luiz Henrique;Betis;BRA;FW;21;33;1807;1;1;3;3.2;2.9;0.05;0.05;0.15;0.16;0.14;La Liga;42;2.09;0.85;74.0;85.5;74.0;53.1;0.1;1.03;0.67;0.42;1.88;0.52;26.67;1.7;45.2;2.34;0.20;39.7;1.42;29.3;0;0;0;0;0;0;0.0;0;0.0;0.0;17.0;-2.2;12.58;17.0;8.03;3.45;0.52;172.88;34.48;0.06;0.52;0.39;0.42;0.18;0.79;0.89;3.85;0.76;1.24;0.82;-26.1;-0.73;38
Borja Iglesias;Betis;ESP;FW;29;35;2365;15;10;3;14.9;2.8;0.57;0.38;0.11;0.57;0.11;La Liga;58;2.21;0.80;76.1;81.3;75.3;86.4;0.2;0.11;0.26;0.03;0.26;0.49;22.17;0.34;37.5;1.52;0.19;35.3;1.63;30.6;0;0;0;0;0;0;0.0;0;0.0;0.0;2.1;0.09999999999999964;11.34;14.91;7.43;2.09;0.54;137.66;19.74;0.06;0.63;0.37;0.4;0.0;0.94;0.87;1.31;1.14;1.49;0.69;-15.700000000000001;-0.30000000000000004;38
Joaquín;Betis;ESP;MF,FW;41;22;496;0;0;2;0.7;1.8;0.0;0.0;0.36;0.13;0.33;La Liga;8;1.45;0.54;79.6;90.9;81.3;38.7;0.2;0.14;0.32;0.18;0.32;0.23;17.14;0.5;57.9;5.37;0.37;16.7;1.18;6.5;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.7;11.73;14.73;7.23;3.36;0.55;161.86;42.18;0.08;0.95;0.68;0.5;0.14;1.18;0.3;1.14;0.05;0.36;0.05;-5.8;-0.16999999999999998;38
Willian José;Betis;BRA;FW;30;28;731;2;1;1;2.9;1.3;0.25;0.12;0.12;0.36;0.17;La Liga;20;2.46;0.74;77.4;86.1;79.8;53.3;-0.3;0.21;0.14;0.04;0.36;0.54;12.11;0.07;28.6;1.48;0.25;44.4;1.61;12.3;0;0;0;0;0;0;0.0;0;0.0;0.0;6.0;-0.8999999999999999;7.36;9.5;4.21;2.39;0.29;98.96;15.93;0.02;0.29;0.14;0.11;0.0;0.5;0.44;1.11;0.32;0.21;0.57;-9.4;-0.08000000000000002;38
Juanmi;Betis;ESP;FW;29;22;925;4;4;0;3.7;0.9;0.39;0.39;0.0;0.36;0.08;La Liga;18;1.75;0.78;84.5;91.7;87.1;58.3;-0.9;0.45;0.45;0.18;0.82;0.18;16.5;0.55;37.5;1.94;0.19;36.0;1.68;16.8;0;0;0;0;0;0;0.0;0;0.0;0.0;2.0;0.2999999999999998;9.41;11.14;6.05;2.45;0.32;125.41;21.18;0.04;0.18;0.32;0.14;0.0;0.68;0.76;2.05;0.68;1.0;0.41;-13.100000000000001;-0.4;38
Juan Miranda;Betis;ESP;DF;22;21;1472;3;3;2;2.4;2.9;0.18;0.18;0.12;0.14;0.18;La Liga;21;1.28;0.49;70.8;85.2;71.7;47.2;-0.9;0.76;0.95;0.95;2.05;3.0;48.29;0.43;50.0;2.32;0.24;55.3;1.57;21.5;0;0;0;0;0;0;0.0;0;0.0;0.0;2.67;0.6000000000000001;28.0;39.52;13.19;10.0;3.19;470.24;243.81;0.11;1.0;2.62;1.33;0.43;3.48;1.02;3.71;0.71;0.95;1.0;-19.1;-0.88;38
Martín Montoya;Betis;ESP;DF;31;6;453;0;0;0;0.0;0.7;0.0;0.0;0.0;0.01;0.14;La Liga;1;0.20;0.00;77.9;92.2;77.9;38.7;-0.7;1.33;1.0;1.5;3.67;2.33;50.33;0.33;40.0;1.39;0.00;72.7;1.17;7.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;31.67;40.67;17.83;10.0;2.0;460.83;188.83;0.1;0.67;2.0;0.5;0.33;2.67;1.2;4.0;0.67;1.0;1.33;-7.2;-1.19;38
Álex Moreno;Betis;ESP;DF;29;15;1350;0;0;3;1.3;1.5;0.0;0.0;0.2;0.08;0.1;La Liga;13;0.87;0.27;75.5;89.8;72.9;44.9;1.5;1.47;1.13;1.13;3.07;2.6;58.87;0.93;35.0;1.33;0.27;33.3;1.80;17.7;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-1.3;35.0;46.33;19.87;12.0;2.07;519.13;232.87;0.09;0.6;2.53;0.87;0.27;2.93;1.18;5.2;1.13;1.27;0.6;-16.4;-1.0999999999999999;38
Loren Morón;Betis;ESP;FW;28;2;15;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;75.0;100.0;0.0;0;0.0;1.0;0.0;0.0;1.0;0.5;5.5;0.0;0;0.00;0.00;0.0;3.00;0.0;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;1.5;2.0;1.5;0.0;0.0;14.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.0;0.0;0.0;0.0;0.0;38
Ayoze Pérez;Betis;ESP;FW,MF;29;19;1386;3;3;1;4.6;2.0;0.19;0.19;0.06;0.3;0.13;La Liga;34;2.21;0.91;78.8;86.7;75.9;83.3;-1.0;0.79;1.16;0.68;2.32;0.26;32.26;2.21;54.5;3.18;0.26;25.0;1.53;20.2;0;0;0;0;0;0;0.0;0;0.0;0.0;4.67;-1.5999999999999996;16.21;20.58;11.63;3.16;0.26;184.84;56.68;0.11;0.68;1.0;0.74;0.0;2.05;1.06;3.53;1.68;1.53;0.42;-15.6;-0.76;38
Germán Pezzella;Betis;ARG;DF;31;31;2511;0;0;0;0.9;0.2;0.0;0.0;0.0;0.03;0.01;La Liga;10;0.36;0.00;86.1;94.4;92.5;52.6;-0.2;0.9;1.03;1.61;2.94;4.16;51.81;0.13;57.1;0.54;0.04;70.2;1.52;36.5;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.9;36.42;42.32;13.16;19.61;3.26;683.71;260.87;0.01;0.13;1.45;0.1;0.0;1.74;1.18;3.48;0.87;0.55;2.35;-35.6;-1.15;38
Rodrigo;Betis;ESP;FW,MF;22;30;1601;2;2;3;1.4;2.2;0.11;0.11;0.17;0.08;0.12;La Liga;15;0.84;0.34;85.3;92.5;85.0;69.3;0.8;0.37;0.33;0.43;0.97;0.07;33.83;0.97;42.0;3.26;0.45;14.3;1.63;22.7;0;0;0;0;0;0;0.0;0;0.0;0.0;3.0;0.6000000000000001;24.4;28.6;13.2;7.77;1.73;361.93;91.7;0.07;0.73;1.73;1.13;0.17;3.4;0.76;3.4;0.2;1.3;0.07;-21.3;-0.68;38
Guido Rodríguez;Betis;ARG;MF;28;34;2872;1;1;0;1.2;0.4;0.03;0.03;0.0;0.04;0.01;La Liga;22;0.69;0.19;86.7;91.6;89.6;68.3;-0.4;2.21;1.71;1.24;4.62;2.24;60.71;0.65;62.9;1.16;0.06;48.9;1.56;41.3;0;0;0;0;0;0;0.0;0;0.0;0.0;6.0;-0.19999999999999996;43.06;49.65;21.44;15.91;3.79;698.85;231.26;0.02;0.32;3.91;0.26;0.03;3.62;1.21;6.26;1.32;1.88;1.29;-40.099999999999994;-1.17;38
Aitor Ruibal;Betis;ESP;DF,FW;26;26;1454;0;0;0;0.8;2.1;0.0;0.0;0.0;0.05;0.13;La Liga;15;0.93;0.37;76.9;90.4;75.4;51.0;-2.1;1.12;0.65;0.92;2.73;1.58;40.85;1.35;52.2;2.29;0.06;43.8;1.35;22.0;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.8;24.88;32.35;13.69;8.15;1.96;392.81;141.88;0.04;0.58;1.96;0.46;0.19;2.38;0.85;3.92;0.85;0.69;0.54;-21.2;-0.7999999999999999;38
Víctor Ruiz;Betis;ESP;DF;33;10;560;0;0;0;0.1;0.2;0.0;0.0;0.0;0.02;0.03;La Liga;1;0.16;0.00;84.9;89.8;93.7;48.6;-0.2;0.3;1.0;0.6;1.1;3.4;31.5;0.0;0;0.64;0.00;70.8;2.00;8.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.1;21.3;25.1;8.8;10.4;1.8;391.1;173.7;0.02;0.2;1.1;0.0;0.0;1.0;0.82;2.9;0.4;0.2;1.7;-8.1;-0.7999999999999999;38
Youssouf Sabaly;Betis;SEN;DF;29;23;1680;1;1;1;0.5;0.8;0.05;0.05;0.05;0.02;0.04;La Liga;12;0.64;0.16;82.2;91.1;79.6;45.5;0.2;1.0;1.52;0.83;2.78;2.26;51.26;0.83;48.7;1.77;0.11;31.3;1.65;23.4;0;0;0;0;0;0;0.0;0;0.0;0.0;3.0;0.5;33.91;41.26;20.35;10.83;1.09;465.52;188.52;0.02;0.52;2.22;0.39;0.04;3.13;1.02;4.74;0.87;1.43;0.22;-22.9;-1.0;38
Rui Silva;Betis;POR;GK;28;26;2340;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;66.9;99.0;96.9;46.7;0.0;0.04;0.0;0.0;0.15;0.46;36.0;0.04;100.0;0.04;0.00;85.7;1.54;35.1;1;32.9;0.30;+1.9;32;1.23;71.2;34.6;4.0;3.25;0.0;0.0;22.81;34.08;3.77;9.54;9.42;698.85;528.08;0.01;0.0;0.54;0.04;0.0;0.0;1.35;1.65;0.0;0.08;0.23;-35.1;-1.35;38
Álvaro Aceves;Valladolid;ESP;GK;19;1;13;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;87.5;100.0;100.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0;0.00;0.00;50.0;0.00;0.2;0;0.1;0.04;+0.1;0;0.00;100.0;0;3.0;0.0;0.0;0.0;7.0;8.0;2.0;4.0;1.0;151.0;113.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;2.0;0.0;0.0;1.0;-0.2;-0.2;38
Álvaro Aguado;Valladolid;ESP;MF;26;34;1888;1;1;2;1.0;2.2;0.05;0.05;0.1;0.05;0.11;La Liga;20;0.95;0.29;81.4;88.9;86.5;70.7;-0.2;0.44;0.47;0.38;1.18;0.44;38.0;0.38;41.9;3.62;0.19;46.9;1.15;36.0;0;0;0;0;0;0;0.0;0;0.0;0.0;6.0;0.0;27.35;33.59;10.56;10.91;5.12;556.06;149.88;0.06;1.03;3.26;0.32;0.06;4.09;1.06;3.82;0.38;0.97;0.44;-35.0;-1.01;38
Babatunde Akinsola;Valladolid;NGA;FW;19;1;11;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;100.0;0;100.0;0;0.0;1.0;0.0;0.0;1.0;0.0;4.0;0.0;0;8.18;0.00;0;0.00;0.5;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;2.0;0.0;41.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.0;0.0;1.0;0.0;-0.5;-0.5;38
Selim Amallah;Valladolid;MAR;MF,FW;25;7;267;2;2;1;0.9;0.3;0.67;0.67;0.34;0.29;0.09;La Liga;5;1.69;0.67;75.9;78.9;76.7;75.0;0.7;1.29;0.29;0.71;2.86;0.29;19.71;1.57;44.0;3.69;0.67;46.7;1.14;5.4;0;0;0;0;0;0;0.0;0;0.0;0.0;1.0;1.1;9.0;11.86;4.29;3.29;0.86;147.14;38.29;0.03;0.43;1.0;0.29;0.0;1.43;0.77;1.43;1.43;1.14;1.0;-4.5;-0.48000000000000004;38
Anuar;Valladolid;MAR;MF,FW;27;3;210;1;1;0;0.3;0.4;0.43;0.43;0.0;0.15;0.19;La Liga;3;1.29;0.43;75.0;78.3;90.0;0;-0.4;1.33;1.67;1.0;2.33;1.0;23.33;0.67;50.0;1.71;0.43;28.6;0.33;4.4;0;0;0;0;0;0;0.0;0;0.0;0.0;1.0;0.7;10.0;13.33;6.0;3.0;0.0;121.0;38.0;0.0;1.33;1.0;0.0;0.0;1.0;1.47;3.33;1.0;2.0;0.67;-4.1000000000000005;-1.32;38
Roberto Arroyo;Valladolid;ESP;MF;18;1;15;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;0.0;0;0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;7.0;1.0;100.0;0.00;0.00;0;0.00;0.8;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;-0.8;-0.8;38
Sergio Asenjo;Valladolid;ESP;GK;33;10;900;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;66.0;100.0;95.5;44.8;0.0;0.0;0.0;0.0;0.0;1.0;38.4;0.0;0;0.20;0.00;0;0.80;18.1;0;16.8;0.31;-4.2;21;2.10;60.8;10.0;5.1;2.43;0.0;0.0;23.3;35.3;3.3;10.7;9.1;721.8;513.8;0.0;0.0;0.4;0.0;0.0;0.0;1.81;2.2;0.0;0.4;0.0;-18.1;-1.81;38
Sergio Escudero;Valladolid;ESP;DF;32;23;1439;1;1;0;1.5;1.8;0.06;0.06;0.0;0.09;0.11;La Liga;27;1.69;0.44;71.1;90.6;74.2;41.7;-1.8;0.83;1.13;1.13;2.57;2.0;40.74;0.3;41.2;2.19;0.00;50.0;1.13;23.1;0;0;0;0;0;0;0.0;0;0.0;0.0;7.0;-0.5;22.96;32.3;11.26;8.74;2.39;393.09;161.96;0.07;0.7;1.3;0.7;0.39;1.74;1.0;3.87;0.83;0.87;1.04;-21.6;-0.91;38
Zouhair Feddal;Valladolid;MAR;DF;33;8;375;0;0;0;0.2;0.1;0.0;0.0;0.0;0.05;0.03;La Liga;1;0.24;0.00;79.1;89.8;86.5;54.2;-0.1;0.25;1.12;0.62;1.12;3.38;31.12;0.0;0;0.96;0.00;46.2;1.25;9.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.2;19.88;25.12;5.5;10.38;3.25;425.62;179.88;0.0;0.25;0.75;0.12;0.0;0.62;1.15;2.38;0.5;0.25;0.75;-9.0;-1.0999999999999999;38
Joaquín Fernández;Valladolid;ESP;DF;26;27;2156;1;1;0;0.6;0.1;0.04;0.04;0.0;0.02;0.0;La Liga;10;0.42;0.04;82.5;92.2;88.6;59.5;-0.1;1.04;1.15;1.0;2.3;3.63;45.48;0.04;50.0;0.58;0.00;64.2;1.26;38.0;0;0;0;0;0;0;0.0;0;0.0;0.0;1.0;0.4;30.37;36.81;9.22;16.48;4.07;621.52;242.41;0.01;0.07;1.96;0.15;0.0;1.56;1.41;3.44;0.59;0.41;1.93;-37.4;-1.39;38
Iván Fresneda;Valladolid;ESP;DF;17;22;1743;0;0;0;0.6;1.5;0.0;0.0;0.0;0.03;0.08;La Liga;4;0.21;0.00;77.0;88.6;78.6;51.9;-1.5;1.55;1.45;0.68;2.86;2.73;52.86;0.68;35.7;1.98;0.15;30.8;0.86;35.7;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.6;32.27;41.91;16.64;12.0;2.55;513.41;168.5;0.05;0.82;2.5;0.73;0.5;2.82;1.62;4.68;0.59;1.14;0.36;-35.1;-1.59;38
Sékou Gassama;Valladolid;SEN;FW;27;1;36;0;0;0;0.4;0.0;0.0;0.0;0.0;1.06;0.09;La Liga;2;5.00;0.00;77.8;71.4;100.0;0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0;2.57;0.00;50.0;0.00;0.1;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.4;7.0;9.0;5.0;2.0;0.0;87.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.1;2.0;1.0;0.0;2.0;0.30000000000000004;0.9600000000000001;38
Sergi Guardiola;Valladolid;ESP;FW;31;14;502;0;0;0;1.0;0.1;0.0;0.0;0.0;0.18;0.03;La Liga;11;1.97;0.54;63.2;72.3;69.2;60.0;-0.1;0.5;0.43;0.14;1.0;0.5;13.64;0.0;0.0;1.43;0.00;39.1;0.79;10.0;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-1.0;5.29;8.36;3.36;1.29;0.21;67.71;10.64;0.01;0.14;0.07;0.07;0.07;0.21;0.71;1.0;1.0;0.64;0.64;-9.0;-0.53;38
Martin Hongla;Valladolid;CMR;DF,MF;24;16;1306;0;0;0;0.0;0.3;0.0;0.0;0.0;0.0;0.02;La Liga;1;0.07;0.00;82.0;85.5;93.0;64.9;-0.3;0.81;0.94;0.5;1.62;2.88;46.56;0.56;81.8;0.76;0.07;30.4;1.00;25.5;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;32.5;39.62;9.19;16.56;6.12;702.62;205.94;0.02;0.12;2.06;0.25;0.06;3.12;1.59;6.12;1.31;0.19;0.44;-25.5;-1.59;38
Kenedy;Valladolid;BRA;FW,DF;26;12;275;0;0;1;0.5;0.6;0.0;0.0;0.33;0.17;0.19;La Liga;6;1.96;0.98;66.3;81.0;76.0;20.0;0.4;0.17;0.17;0.08;0.58;0.0;10.92;0.33;30.8;1.96;0.33;40.0;0.50;7.6;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.5;4.75;7.17;2.83;1.58;0.17;66.67;19.33;0.05;0.33;0.58;0.17;0.17;0.33;0.63;1.17;0.75;0.17;0.17;-7.1;-0.45999999999999996;38
Cyle Larin;Valladolid;CAN;FW;27;19;1469;8;6;3;7.5;2.6;0.49;0.37;0.18;0.46;0.16;La Liga;49;3.00;1.04;68.8;79.1;72.4;64.3;0.4;0.16;0.32;0.0;0.47;0.79;24.84;0.53;38.5;2.02;0.43;41.7;1.21;27.4;0;0;0;0;0;0;0.0;0;0.0;0.0;2.83;0.5;8.95;13.0;5.58;2.21;0.47;120.47;19.47;0.06;0.84;0.26;0.37;0.05;0.89;1.44;2.16;1.21;1.32;2.26;-19.9;-0.98;38
Sergio León;Valladolid;ESP;FW;33;29;1334;6;5;1;3.9;1.2;0.4;0.34;0.07;0.26;0.08;La Liga;26;1.75;1.01;67.0;78.3;70.8;45.0;-0.2;0.14;0.21;0.0;0.21;0.14;11.9;0.34;33.3;1.75;0.20;27.7;1.07;27.3;0;0;0;0;0;0;0.0;0;0.0;0.0;3.0;2.1;4.76;7.1;2.48;1.59;0.31;73.9;13.72;0.02;0.41;0.17;0.21;0.03;0.76;0.94;1.55;0.28;0.76;0.62;-23.400000000000002;-0.6799999999999999;38
Darwin Machís;Valladolid;VEN;FW;29;11;599;0;0;1;1.1;2.1;0.0;0.0;0.15;0.17;0.32;La Liga;19;2.85;0.90;65.9;84.0;76.4;51.1;-1.1;0.18;0.45;0.27;0.55;0.36;26.82;1.0;36.7;3.02;0.15;25.0;1.73;9.6;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-1.1;12.45;18.91;6.18;3.82;2.18;237.55;66.45;0.16;0.82;0.64;1.0;0.91;0.91;0.87;2.36;0.91;1.09;0.18;-8.5;-0.7;38
Mickael Malsa;Valladolid;MTQ;MF;26;5;69;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;65.0;77.8;62.5;0;0.0;0.4;0.2;0.4;0.8;0.6;6.2;0.2;100.0;1.30;0.00;50.0;1.80;2.1;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;2.6;4.0;1.4;1.0;0.0;31.2;18.4;0.0;0.0;0.6;0.0;0.0;1.0;0.42;1.0;0.4;0.0;0.2;-2.1;-0.42;38
Jordi Masip;Valladolid;ESP;GK;33;28;2507;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;70.5;100.0;99.1;45.6;0.0;0.0;0.0;0.04;0.04;0.11;36.61;0.0;0;0.14;0.04;75.0;1.14;46.6;1;45.8;0.27;+4.8;42;1.51;74.5;28.6;5.18;3.45;0.0;0.0;24.25;34.39;3.32;12.32;8.32;702.96;520.46;0.0;0.0;0.54;0.0;0.0;0.0;1.66;1.11;0.0;0.18;0.21;-46.6;-1.66;38
