Player;Squad;Nation;Pos;Age;MP;Min;Gls;G-PK;Ast;xG;xAG;Gls/90;G-PK/90;Ast/90;xG/90;xAG/90;Competition;Sh;Sh/90;SoT/90;Passes%;ShortPasses%;MediumPasses%;LongPasses%;A-xAG;TklW/90;Blocks/90;Int/90;Tkl+Int/90;Clr/90;Touches/90;Dribbles/90;Dribbles%;SCA/90;GCA/90;Aerial%;Points/90;xGA;OG;PSxG;PSxG/SoT;PSxG+/-;GA;GA/90;Save%;CS%;SoTA/90;SoTA/GA;SoT/G;G-xG;PassesCompleted/90;PassesAttempted/90;ShortPassesCompleted/90;MediumPassesCompleted/90;LongPassesCompleted/90;TotDistPasses/90;PrgDistPasses/90;xA/90;KP/90;FinalThirdPasses/90;PPA/90;CrsPA/90;PassesProgressive/90;xGA/90;Recov/90;Fls/90;Fld/90;AerialW/90;xGD;xGD/90;MP_Squad
Milutin Osmajić;Vizela;MNE;FW;23;31;2041;8;8;0;9.2;1.5;0.35;0.35;0.0;0.4;0.06;Primeira Liga;46;2.03;0.97;60.4;70.9;50.6;40.0;-1.5;0.13;0.39;0.03;0.16;0.48;18.71;0.42;38.2;1.89;0.18;34.6;1.16;27.2;0;0;0;0;0;0;0.0;0;0.0;0.0;2.75;-1.1999999999999993;7.19;11.9;4.55;1.45;0.13;81.16;14.58;0.03;0.45;0.32;0.23;0.0;0.65;0.88;1.23;0.81;1.06;1.77;-18.0;-0.48;34
Matheus Pereira;Vizela;BRA;DF;22;18;808;1;1;2;0.2;1.0;0.11;0.11;0.22;0.02;0.11;Primeira Liga;2;0.22;0.11;71.5;89.2;72.1;29.9;1.0;0.44;0.67;0.56;1.67;0.94;37.22;0.44;44.4;1.78;0.22;40.0;1.33;8.8;0;0;0;0;0;0;0.0;0;0.0;0.0;1.0;0.8;22.61;31.61;13.72;7.33;1.11;330.78;149.44;0.04;0.39;1.33;0.56;0.17;1.89;0.49;3.06;1.28;0.78;0.44;-8.600000000000001;-0.47;34
Osama Rashid;Vizela;IRQ;MF,FW;31;18;377;1;1;0;0.3;0.9;0.24;0.24;0.0;0.08;0.21;Primeira Liga;10;2.39;0.95;76.1;88.1;84.2;48.8;-0.9;0.0;0.39;0.22;0.33;0.44;14.22;0.06;100.0;3.35;0.00;81.8;1.33;5.2;0;0;0;0;0;0;0.0;0;0.0;0.0;4.0;0.7;9.0;11.83;4.11;3.56;1.17;159.39;58.89;0.03;0.39;1.33;0.06;0.0;1.22;0.29;1.39;0.33;0.28;0.5;-4.9;-0.20999999999999996;34
Diego Rosa;Vizela;BRA;MF,FW;20;9;257;0;0;0;0.2;0.3;0.0;0.0;0.0;0.05;0.1;Primeira Liga;6;2.10;0.35;67.6;91.9;72.2;32.1;-0.3;0.56;0.67;0.56;1.67;0.78;16.78;0.11;25.0;1.05;0.00;60.0;0.67;3.5;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.2;8.11;12.0;3.78;2.89;1.0;150.22;67.67;0.02;0.33;1.0;0.0;0.0;0.56;0.39;2.11;0.33;0.22;0.33;-3.3;-0.34;34
Samu;Vizela;POR;MF;27;33;2685;3;2;4;5.4;4.6;0.1;0.07;0.13;0.18;0.15;Primeira Liga;47;1.58;0.44;76.3;87.0;79.3;49.4;-0.6;1.33;1.39;1.36;3.67;1.24;54.97;0.55;46.2;3.15;0.30;42.9;1.18;35.5;0;0;0;0;0;0;0.0;0;0.0;0.0;6.5;-2.4000000000000004;33.79;44.27;18.58;11.24;2.52;524.79;201.52;0.15;1.18;4.67;1.18;0.15;5.67;1.08;4.76;1.94;1.24;0.73;-30.1;-0.9000000000000001;34
Andrés Sarmiento;Vizela;COL;FW,MF;25;4;32;0;0;0;0.1;0.0;0.0;0.0;0.0;0.27;0.04;Primeira Liga;1;2.81;0.00;42.9;66.7;0.0;0.0;0.0;0.25;0.25;0.25;0.75;0.0;4.5;0.5;66.7;5.81;0.00;0;0.50;0.5;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.1;0.75;1.75;0.5;0.0;0.0;4.5;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.12;0.25;0.75;0.5;0.0;-0.4;0.15000000000000002;34
Alexander Schmidt;Vizela;AUT;FW;25;10;321;0;0;0;1.3;0.7;0.0;0.0;0.0;0.36;0.19;Primeira Liga;14;3.93;1.68;56.6;66.7;60.0;50.0;-0.7;0.2;0.4;0.2;0.4;0.5;12.5;0.2;50.0;3.08;0.00;36.1;0.70;4.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-1.3;4.3;7.6;2.8;1.2;0.3;63.4;18.3;0.02;0.5;0.5;0.3;0.0;0.7;0.42;0.9;0.4;0.3;1.3;-2.9000000000000004;-0.06;34
Claudemir de Souza;Vizela;BRA;MF;35;22;1359;0;0;1;0.6;0.7;0.0;0.0;0.07;0.04;0.05;Primeira Liga;10;0.66;0.26;83.2;91.5;86.5;52.0;0.3;0.68;1.14;0.82;2.05;1.36;45.73;0.18;57.1;1.65;0.07;60.7;1.00;22.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.6;32.68;39.27;16.18;13.36;2.36;541.36;195.73;0.02;0.27;3.18;0.14;0.05;3.09;1.01;5.0;0.68;0.23;0.77;-21.599999999999998;-0.97;34
Bruno Wilson;Vizela;POR;DF;26;24;2048;0;0;1;1.2;0.9;0.0;0.0;0.04;0.05;0.04;Primeira Liga;12;0.53;0.13;73.6;89.7;88.0;42.9;0.1;0.46;1.54;1.75;2.62;5.17;47.5;0.08;100.0;0.57;0.09;55.3;1.13;28.5;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-1.2;27.12;36.83;8.71;13.5;4.62;577.62;265.08;0.0;0.12;1.83;0.04;0.0;1.71;1.19;4.29;0.71;0.62;2.38;-27.3;-1.14;34
Kévin Zohi;Vizela;MLI;FW,MF;26;25;900;2;2;3;2.6;1.9;0.2;0.2;0.3;0.26;0.19;Primeira Liga;26;2.60;0.90;70.5;77.1;73.0;52.6;1.1;0.28;0.44;0.2;0.92;0.32;16.2;0.8;55.6;3.10;0.40;31.3;0.92;10.6;0;0;0;0;0;0;0.0;0;0.0;0.0;4.5;-0.6000000000000001;7.64;10.84;4.04;2.6;0.4;110.6;28.52;0.07;0.6;0.6;0.4;0.12;1.28;0.42;2.0;0.32;0.52;0.4;-8.0;-0.15999999999999998;34
